episode,reward,waiting_time,steps,avg_queue
586,-60,35.34,200,35.34
587,-62,33.175,200,33.175
588,-58,33.64,200,33.64
589,-42,34.4,200,34.4
590,-54,35.825,200,35.825
591,-38,37.065,200,37.065
592,-42,36.365,200,36.365
593,-64,33.545,200,33.545
594,-60,35.125,200,35.125
595,-56,35.45,200,35.45
596,-42,36.485,200,36.485
597,-54,35.825,200,35.825
598,-42,36.485,200,36.485
599,-124,31.65,200,31.65
600,-42,36.485,200,36.485
601,-60,35.34,200,35.34
602,-42,36.485,200,36.485
603,-38,37.065,200,37.065
604,-38,37.065,200,37.065
605,-38,37.065,200,37.065
606,-38,37.065,200,37.065
607,-54,33.775,200,33.775
608,-42,36.365,200,36.365
609,-38,37.065,200,37.065
610,-88,33.35,200,33.35
611,-54,33.775,200,33.775
612,-42,36.365,200,36.365
613,-54,33.775,200,33.775
614,-42,34.4,200,34.4
615,-46,36.0,200,36.0
616,-66,34.675,200,34.675
617,-38,37.065,200,37.065
618,-42,34.4,200,34.4
619,-42,36.16,200,36.16
620,-104,35.415,200,35.415
621,-42,36.485,200,36.485
622,-58,33.64,200,33.64
623,-42,36.365,200,36.365
624,-58,35.465,200,35.465
625,-64,35.7,200,35.7
626,-42,36.485,200,36.485
627,-62,35.13,200,35.13
628,-42,34.4,200,34.4
629,-42,34.4,200,34.4
630,-38,37.065,200,37.065
631,-42,36.365,200,36.365
632,-42,36.485,200,36.485
633,-60,35.125,200,35.125
634,-42,36.485,200,36.485
635,-38,37.065,200,37.065
636,-42,36.485,200,36.485
637,-42,36.485,200,36.485
638,-42,36.365,200,36.365
639,-52,35.8,200,35.8
640,-42,36.365,200,36.365
641,-50,36.39,200,36.39
642,-38,37.065,200,37.065
643,-38,37.065,200,37.065
644,-38,37.065,200,37.065
645,-42,36.485,200,36.485
646,-38,37.065,200,37.065
647,-54,35.825,200,35.825
648,-54,35.67,200,35.67
649,-42,36.365,200,36.365
650,-38,37.065,200,37.065
651,-42,34.4,200,34.4
652,-38,37.065,200,37.065
653,-38,37.065,200,37.065
654,-38,37.065,200,37.065
655,-72,35.41,200,35.41
656,-52,35.51,200,35.51
657,-54,35.67,200,35.67
658,-42,36.485,200,36.485
659,-38,37.065,200,37.065
660,-42,36.485,200,36.485
661,-38,37.065,200,37.065
662,-42,36.485,200,36.485
663,-38,37.065,200,37.065
664,-38,37.065,200,37.065
665,-38,37.065,200,37.065
666,-38,37.065,200,37.065
667,-122,35.71,200,35.71
668,-58,33.64,200,33.64
669,-42,34.4,200,34.4
670,-42,36.365,200,36.365
671,-42,36.16,200,36.16
672,-42,36.485,200,36.485
673,-38,37.065,200,37.065
674,-72,35.79,200,35.79
675,-96,33.285,200,33.285
676,-38,37.065,200,37.065
677,-38,37.065,200,37.065
678,-38,37.065,200,37.065
679,-42,36.485,200,36.485
680,-42,36.485,200,36.485
681,-50,34.285,200,34.285
682,-42,36.16,200,36.16
683,-38,37.065,200,37.065
684,-70,35.505,200,35.505
685,-42,36.485,200,36.485
686,-42,36.485,200,36.485
687,-38,37.065,200,37.065
688,-38,37.065,200,37.065
689,-38,37.065,200,37.065
690,-38,37.065,200,37.065
691,-42,36.365,200,36.365
692,-64,35.7,200,35.7
693,-42,36.365,200,36.365
694,-38,37.065,200,37.065
695,-58,35.675,200,35.675
696,-62,35.49,200,35.49
697,-38,37.065,200,37.065
698,-38,37.065,200,37.065
699,-42,36.16,200,36.16
700,-52,36.025,200,36.025
701,-98,36.59,200,36.59
702,-38,37.065,200,37.065
703,-100,36.585,200,36.585
704,-50,35.695,200,35.695
705,-100,36.575,200,36.575
706,-106,35.86,200,35.86
707,-122,33.4,200,33.4
708,-42,36.365,200,36.365
709,-38,37.065,200,37.065
710,-38,37.065,200,37.065
711,-42,36.16,200,36.16
712,-38,37.065,200,37.065
713,-42,36.365,200,36.365
714,-42,36.16,200,36.16
715,-66,35.32,200,35.32
716,-72,34.97,200,34.97
717,-124,35.405,200,35.405
